,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,NAME,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M,zip code tabulation area
1,ZCTA5 01009,352,92,0,12,10,16,8,14,0,12,59,39,0,12,54,60,40,46,181,89,01009
2,ZCTA5 01057,3644,192,56,56,269,95,534,138,485,106,536,170,326,122,386,122,236,97,816,173,01057
3,ZCTA5 01069,3747,212,9,13,247,100,503,175,355,145,404,110,484,134,603,162,193,92,949,207,01069
4,ZCTA5 01080,1040,99,0,12,48,40,35,30,9,15,54,37,82,61,309,93,117,62,386,104,01080
5,ZCTA5 01082,4942,230,0,19,475,153,302,108,894,190,610,183,337,102,375,121,125,71,1824,210,01082
6,ZCTA5 01201,22385,463,29,26,737,188,882,201,2021,325,2231,285,2022,236,3343,330,2277,269,8843,561,01201
7,ZCTA5 01220,4194,191,7,10,103,52,61,39,174,84,300,76,265,102,737,136,287,87,2260,209,01220
8,ZCTA5 01230,4400,307,21,24,347,82,450,124,528,145,486,108,234,72,452,124,369,140,1513,251,01230
9,ZCTA5 01238,3356,207,0,17,299,128,314,155,217,98,512,171,350,133,490,168,120,59,1054,257,01238
10,ZCTA5 01247,8111,317,3,4,214,81,338,109,351,117,785,158,554,114,735,163,529,145,4602,311,01247
11,ZCTA5 01420,17303,601,9,14,1506,237,727,156,1798,294,981,175,1393,236,1683,274,1234,227,7972,484,01420
12,ZCTA5 01432,3531,257,47,75,581,160,438,135,277,118,423,151,325,165,208,111,211,98,1021,234,01432
13,ZCTA5 01440,8932,349,0,23,279,118,521,118,1034,214,1101,196,516,125,848,195,968,230,3665,321,01440
14,ZCTA5 01453,17758,477,33,31,773,170,1802,296,2543,269,2414,333,2133,307,1905,290,949,279,5206,496,01453
15,ZCTA5 01462,4472,135,149,72,478,127,333,102,378,130,491,146,471,183,938,177,381,125,853,207,01462
16,ZCTA5 01464,2227,399,0,17,284,131,372,133,346,105,282,113,163,99,153,84,9,14,618,189,01464
17,ZCTA5 01510,6205,288,19,30,413,94,223,114,833,174,334,105,346,123,819,170,384,102,2834,249,01510
18,ZCTA5 01545,13656,297,89,41,1590,251,2384,297,1631,217,2052,294,1030,195,1890,264,1058,243,1932,273,01545
