,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,NAME,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_011E,B01001_011M,B01001_012E,B01001_012M,B01001_013E,B01001_013M,B01001_014E,B01001_014M,B01001_015E,B01001_015M,B01001_016E,B01001_016M,B01001_017E,B01001_017M,B01001_018E,B01001_018M,B01001_019E,B01001_019M,B01001_020E,B01001_020M,B01001_021E,B01001_021M,B01001_022E,B01001_022M,B01001_023E,B01001_023M,B01001_024E,B01001_024M,B01001_025E,B01001_025M,zip code tabulation area
1,ZCTA5 01009,0,12,45,60,0,12,19,21,0,12,0,12,0,12,0,12,0,12,13,23,45,39,50,63,37,45,17,26,44,57,2,8,23,24,10,18,33,50,0,12,0,12,0,12,0,12,01009
2,ZCTA5 01057,237,136,213,107,339,108,78,50,66,52,70,50,11,18,185,96,183,81,149,109,213,92,295,116,520,147,405,108,338,89,203,92,200,85,111,56,138,87,168,68,79,63,53,45,42,37,01057
3,ZCTA5 01069,245,116,223,104,300,122,282,154,77,59,58,49,62,59,132,99,277,122,213,94,319,134,281,121,366,137,373,130,408,121,141,67,200,86,39,38,72,48,109,79,99,57,71,52,25,24,01069
4,ZCTA5 01080,49,36,65,50,13,15,17,21,38,39,12,19,27,24,0,12,73,40,117,63,51,38,33,23,72,59,172,77,49,37,20,23,48,39,10,17,7,13,19,18,45,37,20,23,14,19,01080
5,ZCTA5 01082,253,113,454,193,285,111,230,77,68,60,77,90,87,81,206,126,179,81,279,97,331,91,233,84,428,115,482,153,393,114,154,81,249,99,90,59,200,80,108,55,108,53,79,41,62,42,01082
6,ZCTA5 01201,1206,166,1138,253,1332,222,768,155,515,144,253,97,127,120,991,205,1379,234,1386,229,1312,192,1181,211,1403,214,1774,203,1701,266,666,146,810,167,665,148,503,137,821,132,490,113,457,102,473,110,01201
7,ZCTA5 01220,157,68,359,105,325,93,215,118,107,71,20,26,39,40,166,75,214,112,193,67,243,75,250,90,308,86,462,95,230,67,119,59,179,68,63,33,172,72,146,51,121,44,45,26,84,52,01220
8,ZCTA5 01230,127,70,200,84,147,74,183,89,179,82,139,93,22,28,143,59,96,74,238,136,234,101,284,109,427,192,258,93,348,95,155,73,214,88,65,37,112,52,117,50,106,48,122,51,137,59,01230
9,ZCTA5 01238,187,102,64,52,79,64,101,60,83,57,18,24,32,33,146,96,284,144,133,77,90,68,183,90,260,117,159,76,350,109,128,65,103,51,56,45,120,62,188,90,98,58,63,46,51,49,01238
