_pageUrl,_position,income,b190,description
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,1,income,B19013_001E,"Median household income in the past 12 months (in 2013 inflation-adjusted 
dollars)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,2,income_per_capita,B19301_001E,Per capita income in the past 12 months (in 2013 inflation-adjusted dollars)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,3,employment_labor_force,B23025_002E,"Number of persons, age 16 or older, in the labor force"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,4,employment_not_labor_force,B23025_007E,"Number of persons, age 16 or older, not in the labor force"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,5,employment_civilian_labor_force,B23025_003E,"Number of persons, age 16 or older, in the civilian labor force"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,6,employment_employed,B23025_004E,"Number of employed, age 16 or older, in the civilian labor force"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,7,employment_unemployed,B23025_005E,"Number of unemployed, age 16 or older, in the civilian labor force"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,8,employment_armed_forces,B23025_006E,"Number of persons, age 16 or older, in the Armed Forces"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,9,employment_male_management_business_science_and_arts_occupations,C24010_003E,"Number of employed male 'Management, business, science, and arts 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,10,employment_male_management_business_and_financial_occupations,C24010_004E,"Number of employed male 'Management, business, and financial occupations:' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,11,employment_male_management_occupations,C24010_005E,"Number of employed male 'Management occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,12,employment_male_business_and_financial_operations_occupations,C24010_006E,"Number of employed male 'Business and financial operations occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,13,employment_male_computer_engineering_and_science_occupations,C24010_007E,"Number of employed male 'Computer, engineering, and science occupations:' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,14,employment_male_computer_and_mathematical_occupations,C24010_008E,"Number of employed male 'Computer and mathematical occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,15,employment_male_architecture_and_engineering_occupations,C24010_009E,"Number of employed male 'Architecture and engineering occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,16,employment_male_life_physical_and_social_science_occupations,C24010_010E,"Number of employed male 'Life, physical, and social science occupations' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,17,employment_male_education_legal_community_service_arts_and_media_occupations,C24010_011E,"Number of employed male 'Education, legal, community service, arts, and 
media occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,18,employment_male_community_and_social_service_occupations,C24010_012E,"Number of employed male 'Community and social service occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,19,employment_male_legal_occupations,C24010_013E,"Number of employed male 'Legal occupations' for the civilian population age 
16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,20,employment_male_education_training_and_library_occupations,C24010_014E,"Number of employed male 'Education, training, and library occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,21,employment_male_arts_design_entertainment_sports_and_media_occupations,C24010_015E,"Number of employed male 'Arts, design, entertainment, sports, and media 
occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,22,employment_male_healthcare_practitioners_and_technical_occupations,C24010_016E,"Number of employed male 'Healthcare practitioners and technical 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,23,employment_male_health_diagnosing_and_treating_practitioners_and_other_technical_occupations,C24010_017E,"Number of employed male 'Health diagnosing and treating practitioners and 
other technical occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,24,employment_male_health_technologists_and_technicians,C24010_018E,"Number of employed male 'Health technologists and technicians' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,25,employment_male_service_occupations,C24010_019E,"Number of employed male 'Service occupations:' for the civilian population 
age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,26,employment_male_healthcare_support_occupations,C24010_020E,"Number of employed male 'Healthcare support occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,27,employment_male_protective_service_occupations,C24010_021E,"Number of employed male 'Protective service occupations:' for the civilian 
population age 16 and over"
